"_id","_labels","born","name","_start","_end","_type"
"346",":Person","1964","Keanu Reeves",,,
"347",":Person","1967","Carrie-Anne Moss",,,
"348",":Person","1961","Laurence Fishburne",,,
"349",":Person","1960","Hugo Weaving",,,
"350",":Person","1967","Lilly Wachowski",,,
"351",":Person","1965","Lana Wachowski",,,
"352",":Person","1952","Joel Silver",,,
"353",":Person","1978","Emil Eifrem",,,
"357",":Person","1975","Charlize Theron",,,
"358",":Person","1940","Al Pacino",,,
"359",":Person","1944","Taylor Hackford",,,
"361",":Person","1962","Tom Cruise",,,
"362",":Person","1937","Jack Nicholson",,,
"363",":Person","1962","Demi Moore",,,
"364",":Person","1958","Kevin Bacon",,,
"365",":Person","1966","Kiefer Sutherland",,,
"366",":Person","1971","Noah Wyle",,,
"367",":Person","1968","Cuba Gooding Jr.",,,
"368",":Person","1957","Kevin Pollak",,,
"369",":Person","1943","J.T. Walsh",,,
"370",":Person","1967","James Marshall",,,
"371",":Person","1948","Christopher Guest",,,
"372",":Person","1947","Rob Reiner",,,
"373",":Person","1961","Aaron Sorkin",,,
"375",":Person","1957","Kelly McGillis",,,
"376",":Person","1959","Val Kilmer",,,
"377",":Person","1962","Anthony Edwards",,,
"378",":Person","1933","Tom Skerritt",,,
"379",":Person","1961","Meg Ryan",,,
"380",":Person","1944","Tony Scott",,,
"381",":Person","1941","Jim Cash",,,
"383",":Person","1969","Renee Zellweger",,,
"384",":Person","1962","Kelly Preston",,,
"385",":Person","1974","Jerry O'Connell",,,
"386",":Person","1970","Jay Mohr",,,
"387",":Person","1961","Bonnie Hunt",,,
"388",":Person","1971","Regina King",,,
"389",":Person","1996","Jonathan Lipnicki",,,
"390",":Person","1957","Cameron Crowe",,,
"392",":Person","1970","River Phoenix",,,
"393",":Person","1971","Corey Feldman",,,
"394",":Person","1972","Wil Wheaton",,,
"395",":Person","1966","John Cusack",,,
"396",":Person","1942","Marshall Bell",,,
"398",":Person","1963","Helen Hunt",,,
"399",":Person","1963","Greg Kinnear",,,
"400",":Person","1940","James L. Brooks",,,
"402",":Person","1960","Annabella Sciorra",,,
"403",":Person","1929","Max von Sydow",,,
"404",":Person","1942","Werner Herzog",,,
"405",":Person","1951","Robin Williams",,,
"406",":Person","1956","Vincent Ward",,,
"408",":Person","1970","Ethan Hawke",,,
"409",":Person","1971","Rick Yune",,,
"410",":Person","1940","James Cromwell",,,
"411",":Person","1953","Scott Hicks",,,
"413",":Person","1968","Parker Posey",,,
"414",":Person","1973","Dave Chappelle",,,
"415",":Person","1967","Steve Zahn",,,
"416",":Person","1956","Tom Hanks",,,
"417",":Person","1941","Nora Ephron",,,
"419",":Person","1956","Rita Wilson",,,
"420",":Person","1953","Bill Pullman",,,
"421",":Person","1949","Victor Garber",,,
"422",":Person","1962","Rosie O'Donnell",,,
"424",":Person","1950","John Patrick Stanley",,,
"425",":Person","1956","Nathan Lane",,,
"427",":Person","1948","Billy Crystal",,,
"428",":Person","1956","Carrie Fisher",,,
"429",":Person","1949","Bruno Kirby",,,
"431",":Person","1977","Liv Tyler",,,
"433",":Person","1970","Brooke Langton",,,
"434",":Person","1930","Gene Hackman",,,
"435",":Person","1968","Orlando Jones",,,
"436",":Person","1950","Howard Deutch",,,
"438",":Person","1974","Christian Bale",,,
"439",":Person","1954","Zach Grenier",,,
"441",":Person","1931","Mike Nichols",,,
"443",":Person","1930","Richard Harris",,,
"444",":Person","1930","Clint Eastwood",,,
"446",":Person","1947","Takeshi Kitano",,,
"447",":Person","1968","Dina Meyer",,,
"448",":Person","1958","Ice-T",,,
"449",":Person","1953","Robert Longo",,,
"451",":Person","1966","Halle Berry",,,
"452",":Person","1949","Jim Broadbent",,,
"453",":Person","1965","Tom Tykwer",,,
"454",":Person","1969","David Mitchell",,,
"455",":Person","1961","Stefan Arndt",,,
"457",":Person","1939","Ian McKellen",,,
"458",":Person","1976","Audrey Tautou",,,
"459",":Person","1971","Paul Bettany",,,
"460",":Person","1954","Ron Howard",,,
"462",":Person","1981","Natalie Portman",,,
"463",":Person","1946","Stephen Rea",,,
"464",":Person","1940","John Hurt",,,
"465",":Person","1967","Ben Miles",,,
"467",":Person","1985","Emile Hirsch",,,
"468",":Person","1960","John Goodman",,,
"469",":Person","1946","Susan Sarandon",,,
"470",":Person","1966","Matthew Fox",,,
"471",":Person","1980","Christina Ricci",,,
"472",":Person","1982","Rain",,,
"474",":Person","","Naomie Harris",,,
"476",":Person","1957","Michael Clarke Duncan",,,
"477",":Person","1953","David Morse",,,
"478",":Person","1968","Sam Rockwell",,,
"479",":Person","1955","Gary Sinise",,,
"480",":Person","1959","Patricia Clarkson",,,
"481",":Person","1959","Frank Darabont",,,
"483",":Person","1938","Frank Langella",,,
"484",":Person","1969","Michael Sheen",,,
"485",":Person","1960","Oliver Platt",,,
"487",":Person","1944","Danny DeVito",,,
"488",":Person","1965","John C. Reilly",,,
"490",":Person","1950","Ed Harris",,,
"491",":Person","1955","Bill Paxton",,,
"493",":Person","1967","Philip Seymour Hoffman",,,
"494",":Person","1943","Jan de Bont",,,
"496",":Person","1951","Robert Zemeckis",,,
"498",":Person","1932","Milos Forman",,,
"500",":Person","1946","Diane Keaton",,,
"501",":Person","1949","Nancy Meyers",,,
"503",":Person","1958","Chris Columbus",,,
"505",":Person","1967","Julia Roberts",,,
"508",":Person","1954","Madonna",,,
"509",":Person","1956","Geena Davis",,,
"510",":Person","1963","Lori Petty",,,
"511",":Person","1943","Penny Marshall",,,
"512",":Person","","Paul Blythe",,,
"513",":Person","","Angela Scope",,,
"514",":Person","","Jessica Thompson",,,
"515",":Person","","James Thompson",,,
